symbol,close,date
GS,159.33999599999999,2013-05-22
GS,157.41000400000001,2013-05-23
GS,158.720001,2013-05-24
GS,160.699997,2013-05-28
GS,162.869995,2013-05-29
GS,164.350006,2013-05-30
GS,162.080002,2013-05-31
GS,163.559998,2013-06-03
GS,161.679993,2013-06-04
GS,158.300003,2013-06-05
GS,159.679993,2013-06-06
GS,166.009995,2013-06-07
GS,167.490005,2013-06-10
GS,163.309998,2013-06-11
GS,161.860001,2013-06-12
GS,165.820007,2013-06-13
GS,162.919998,2013-06-14
GS,164.110001,2013-06-17
GS,164.149994,2013-06-18
GS,161.559998,2013-06-19
GS,155.41000400000001,2013-06-20
GS,154.25,2013-06-21
GS,150.779999,2013-06-24
GS,153.059998,2013-06-25
GS,151.66000400000001,2013-06-26
GS,153.509995,2013-06-27
GS,151.25,2013-06-28
GS,151.75,2013-07-01
GS,150.919998,2013-07-02
GS,150.429993,2013-07-03
GS,153.240005,2013-07-05
GS,153.809998,2013-07-08
GS,156.940002,2013-07-09
GS,155.830002,2013-07-10
GS,157.71000700000002,2013-07-11
GS,160.110001,2013-07-12
GS,163.0,2013-07-15
GS,160.240005,2013-07-16
GS,161.5,2013-07-17
GS,164.059998,2013-07-18
GS,164.360001,2013-07-19
GS,166.25,2013-07-22
GS,166.259995,2013-07-23
GS,165.03999299999998,2013-07-24
GS,165.91000400000001,2013-07-25
GS,165.259995,2013-07-26
GS,163.169998,2013-07-29
GS,162.429993,2013-07-30
GS,164.029999,2013-07-31
GS,167.490005,2013-08-01
GS,167.619995,2013-08-02
GS,168.320007,2013-08-05
GS,164.779999,2013-08-06
GS,163.449997,2013-08-07
GS,162.83999599999999,2013-08-08
GS,162.130005,2013-08-09
GS,161.690002,2013-08-12
GS,163.71000700000002,2013-08-13
GS,163.33999599999999,2013-08-14
GS,160.75,2013-08-15
GS,160.66000400000001,2013-08-16
GS,158.630005,2013-08-19
GS,159.559998,2013-08-20
GS,157.110001,2013-08-21
GS,159.41000400000001,2013-08-22
GS,158.649994,2013-08-23
GS,157.899994,2013-08-26
GS,153.229996,2013-08-27
GS,152.970001,2013-08-28
GS,153.630005,2013-08-29
GS,152.130005,2013-08-30
GS,154.759995,2013-09-03
GS,155.740005,2013-09-04
GS,156.169998,2013-09-05
GS,156.66000400000001,2013-09-06
GS,159.490005,2013-09-09
GS,165.139999,2013-09-10
GS,165.059998,2013-09-11
GS,163.350006,2013-09-12
GS,164.0,2013-09-13
